security,ts_code,symbol,name,cnspell,market,list_date
000785.XSHE,000785.SZ,000785,居然智家,JRZJ,主板,19970711
000786.XSHE,000786.SZ,000786,北新建材,BXJC,主板,19970606
000788.XSHE,000788.SZ,000788,北大医药,BDYY,主板,19970616
000789.XSHE,000789.SZ,000789,万年青,WNQ,主板,19970923
000790.XSHE,000790.SZ,000790,华神科技,HSKJ,主板,19980327
000791.XSHE,000791.SZ,000791,甘肃能源,GSNY,主板,19971014
000792.XSHE,000792.SZ,000792,盐湖股份,YHGF,主板,19970904
000793.XSHE,000793.SZ,000793,*ST华闻,STHW,主板,19970729
000795.XSHE,000795.SZ,000795,英洛华,YLH,主板,19970808
000796.XSHE,000796.SZ,000796,凯撒旅业,KSLY,主板,19970703
000797.XSHE,000797.SZ,000797,中国武夷,ZGWY,主板,19970715
000798.XSHE,000798.SZ,000798,中水渔业,ZSYY,主板,19980212
000799.XSHE,000799.SZ,000799,酒鬼酒,JGJ,主板,19970718
000800.XSHE,000800.SZ,000800,一汽解放,YQJF,主板,19970618
000801.XSHE,000801.SZ,000801,四川九洲,SCJZ,主板,19980506
000802.XSHE,000802.SZ,000802,北京文化,BJWH,主板,19980108
000803.XSHE,000803.SZ,000803,山高环能,SGHN,主板,19980303
000807.XSHE,000807.SZ,000807,云铝股份,YLGF,主板,19980408
000809.XSHE,000809.SZ,000809,和展能源,HZNY,主板,19980616
000810.XSHE,000810.SZ,000810,创维数字,CWSZ,主板,19980602
000811.XSHE,000811.SZ,000811,冰轮环境,BLHJ,主板,19980528
000812.XSHE,000812.SZ,000812,陕西金叶,SXJY,主板,19980623
000813.XSHE,000813.SZ,000813,德展健康,DZJK,主板,19980519
000815.XSHE,000815.SZ,000815,美利云,MLY,主板,19980609
000816.XSHE,000816.SZ,000816,智慧农业,ZHNY,主板,19970818
000818.XSHE,000818.SZ,000818,航锦科技,HJKJ,主板,19971017
000819.XSHE,000819.SZ,000819,岳阳兴长,YYXZ,主板,19970625
000820.XSHE,000820.SZ,000820,*ST节能,STJN,主板,19980630
000821.XSHE,000821.SZ,000821,ST京机,STJJ,主板,19980626
000822.XSHE,000822.SZ,000822,山东海化,SDHH,主板,19980703
000823.XSHE,000823.SZ,000823,超声电子,CSDZ,主板,19971008
000825.XSHE,000825.SZ,000825,太钢不锈,TGBX,主板,19981021
000826.XSHE,000826.SZ,000826,*ST启环,STQH,主板,19980225
000828.XSHE,000828.SZ,000828,东莞控股,DGKG,主板,19970617
000829.XSHE,000829.SZ,000829,天音控股,TYKG,主板,19971202
000830.XSHE,000830.SZ,000830,鲁西化工,LXHG,主板,19980807
000831.XSHE,000831.SZ,000831,中国稀土,ZGXT,主板,19980911
000833.XSHE,000833.SZ,000833,粤桂股份,YGGF,主板,19981111
000837.XSHE,000837.SZ,000837,秦川机床,QCJC,主板,19980928
000838.XSHE,000838.SZ,000838,*ST发展,STFZ,主板,19970626
000839.XSHE,000839.SZ,000839,国安股份,GAGF,主板,19971031
000848.XSHE,000848.SZ,000848,承德露露,CDLL,主板,19971113
000850.XSHE,000850.SZ,000850,华茂股份,HMGF,主板,19981007
000852.XSHE,000852.SZ,000852,石化机械,SHJX,主板,19981126
000856.XSHE,000856.SZ,000856,冀东装备,JDZB,主板,19980813
000858.XSHE,000858.SZ,000858,五 粮 液,WLY,主板,19980427
000859.XSHE,000859.SZ,000859,国风新材,GFXC,主板,19981119
000860.XSHE,000860.SZ,000860,顺鑫农业,SXNY,主板,19981104
000862.XSHE,000862.SZ,000862,银星能源,YXNY,主板,19980915
000863.XSHE,000863.SZ,000863,三湘印象,SXYX,主板,19970925
000868.XSHE,000868.SZ,000868,安凯客车,AKKC,主板,19970725
000869.XSHE,000869.SZ,000869,张  裕Ａ,ZYＡ,主板,20001026
000875.XSHE,000875.SZ,000875,电投绿能,DTLN,主板,20020926
000876.XSHE,000876.SZ,000876,新 希 望,XXW,主板,19980311
000877.XSHE,000877.SZ,000877,天山股份,TSGF,主板,19990107
000878.XSHE,000878.SZ,000878,云南铜业,YNTY,主板,19980602
000880.XSHE,000880.SZ,000880,潍柴重机,WCZJ,主板,19980402
000881.XSHE,000881.SZ,000881,中广核技,ZGHJ,主板,19980902
000882.XSHE,000882.SZ,000882,华联股份,HLGF,主板,19980616
000883.XSHE,000883.SZ,000883,湖北能源,HBNY,主板,19980519
000885.XSHE,000885.SZ,000885,城发环境,CFHJ,主板,19990319
000886.XSHE,000886.SZ,000886,海南高速,HNGS,主板,19980123
000887.XSHE,000887.SZ,000887,中鼎股份,ZDGF,主板,19981203
000888.XSHE,000888.SZ,000888,峨眉山Ａ,EMSＡ,主板,19971021
000889.XSHE,000889.SZ,000889,中嘉博创,ZJBC,主板,19971218
000890.XSHE,000890.SZ,000890,法尔胜,FES,主板,19990119
000892.XSHE,000892.SZ,000892,欢瑞世纪,HRSJ,主板,19990115
000893.XSHE,000893.SZ,000893,亚钾国际,YJGJ,主板,19981224
000895.XSHE,000895.SZ,000895,双汇发展,SHFZ,主板,19981210
000897.XSHE,000897.SZ,000897,津滨发展,JBFZ,主板,19990422
000898.XSHE,000898.SZ,000898,鞍钢股份,AGGF,主板,19971225
000899.XSHE,000899.SZ,000899,赣能股份,GNGF,主板,19971126
000900.XSHE,000900.SZ,000900,现代投资,XDTZ,主板,19990128
000901.XSHE,000901.SZ,000901,航天科技,HTKJ,主板,19990401
000902.XSHE,000902.SZ,000902,新洋丰,XYF,主板,19990408
000903.XSHE,000903.SZ,000903,ST云动,STYD,主板,19990415
000905.XSHE,000905.SZ,000905,厦门港务,XMGW,主板,19990429
000906.XSHE,000906.SZ,000906,浙商中拓,ZSZT,主板,19990707
000908.XSHE,000908.SZ,000908,ST景峰,STJF,主板,19990203
000909.XSHE,000909.SZ,000909,*ST数源,STSY,主板,19990507
000910.XSHE,000910.SZ,000910,大亚圣象,DYSX,主板,19990630
000911.XSHE,000911.SZ,000911,*ST广糖,STGT,主板,19990527
000912.XSHE,000912.SZ,000912,泸天化,LTH,主板,19990603
000913.XSHE,000913.SZ,000913,钱江摩托,QJMT,主板,19990514
000915.XSHE,000915.SZ,000915,华特达因,HTDY,主板,19990609
000917.XSHE,000917.SZ,000917,电广传媒,DGCM,主板,19990325
000919.XSHE,000919.SZ,000919,金陵药业,JLYY,主板,19991118
000920.XSHE,000920.SZ,000920,沃顿科技,WDKJ,主板,19990616
000921.XSHE,000921.SZ,000921,海信家电,HXJD,主板,19990713
000922.XSHE,000922.SZ,000922,佳电股份,JDGF,主板,19990618
000923.XSHE,000923.SZ,000923,河钢资源,HGZY,主板,19990714
